0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85
0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.85,0.85
0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,5.5511e-17,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.75
0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,5.5511e-17,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.75
0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.9,0.9,0.9,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.85,0.85
0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.9,0.9,0.9,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85
0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.9,0.9,0.9,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.85
0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.95,0.95,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.95,0.95
0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.95,0.95,0.95,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.95,0.95,0.95
0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.9,0.9,0.9,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.95,0.95,0.95,0.95
0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.9,0.9,0.9,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.95,0.95,0.95,0.95
0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.9,0.9,0.9,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.95,0.95,0.95,0.95,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.95,0.95,0.95,0.95
0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.95,0.95,0.95,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.95,0.95,0.95
0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.95,0.95,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.95,0.95
0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.9,0.9,0.9,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85,0.85
0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.9,0.9,0.9,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85
0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.9,0.9,0.9,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.85,0.85
0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,5.5511e-17,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.75
0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75
0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,5.5511e-17,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.75
0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.75,0.85,0.85
0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.85,0.85,0.85,0.85,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.75,0.75,0.85,0.85,0.85,0.85
